id,nome,categoria,subcategoria,descricao,unidade,destaque,ativo,foto_arquivo,badge,fotos_extras
52,Conjunto Mesa Redonda,Móveis,Mesa,Mesa redonda giratória com 6 cadeiras em madeira maciça.,cj,sim,sim,Conjunto mesa Redonda.jpg,,
53,Mesa Madeira Angelim,Móveis,Mesa,Mesa de madeira angelim com bancos laterais. Resistente e ideal para área externa.,cj,sim,sim,Mesa Madeira Angelim.jpg,,Mesa Madeira Angelim simulaçao.jpg
55,Forramento,Outros,Forramento,Forramento de madeira para batentes e marcos. Acabamento profissional na instalação.,m²,sim,sim,Forramento.jpg,,Forramento montado.jpg
56,Lambri,Outros,Lambri,Lambri de madeira para forro e revestimento. Instalação simples com resultado premium.,m²,sim,nao,lambri (21).jpg,,
57,Madeirite Plastificado,Outros,Madeirite,Madeirite plastificado resistente à umidade. Ideal para construção e acabamento.,m²,sim,sim,madeirite plastificado.jpg,,
58,Porta Revista,Portas,Sólidas,Porta sólida com design clássico e acabamento refinado. Uma das mais requisitadas da linha.,un,sim,sim,Revista.jpg,,porta revista simulacao.jpg
59,Janela Tabicão,Janelas,Tabicão,Janela com folhas em tabicão. Robustez e boa ventilação para qualquer ambiente.,un,sim,sim,Janela Tabicao.jpg,,Janela Tabicao Aberta.jpg|Janela Tabicao Simulação.jpg
60,Porta Colmeia Reta Almofada Correr,Portas,Correr,Porta colmeia reta com almofada central em 4 folhas tipo correr. Elegância para grandes vãos.,cj,sim,sim,Colmeia Reta Almofada Correr.jpg,,Colmeia Reta Almofada Correr Simulação.jpg
56,Lambri,Forro,Lambri,Lambri de madeira para forro e revestimento. Instalação simples com resultado premium.,m²,sim,sim,Peça Lambri.jpg,,Simulacao Lambri.jpg
61,Porta Riscada 1,Portas,Semi-Sólidas,Porta semi-sólida com friso diagonal clean. Linha moderna com toque sofisticado.,un,sim,sim,Riscado 1.jpg,,Riscado 1 Simulacao.jpg
62,Porta Riscada 2,Portas,Semi-Sólidas,Porta semi-sólida com dois frisos diagonais em destaque. Elegância geométrica contemporânea.,un,sim,sim,Riscado 2.jpg,,Riscado 2 Simulacao.jpg
63,Porta Riscada 3,Portas,Semi-Sólidas,Porta semi-sólida com trio de frisos diagonais. Visual moderno e marcante.,un,sim,sim,Riscado 3.jpg,,Riscado 3 Simulacao.jpg
64,Porta Riscada 4,Portas,Semi-Sólidas,Porta semi-sólida com padrão de frisos diagonais completo. O modelo mais elaborado da linha Riscada.,un,sim,sim,Riscado 4.jpg,,Riscado 4 Simulacao.jpg
65,Porta Diamante,Portas,Sólidas,Porta sólida com padrão de losangos entalhados em vidro. Visual geométrico de alto impacto.,un,sim,sim,Porta Diamante.jpg,,Porta Diamante Simulacao.jpg
66,Porta Ondulada c/ Vidro e Lateral,Portas,Sólidas,Porta ondulada com vidro central e lateral fixa. Beleza artesanal com entrada de luz natural.,cj,sim,sim,Porta Ondulada com Vidro e Lateral.jpg,,Porta Ondulada com Vidro e Lateral Simulacao.jpg
67,Janela Tabicão Pivotante,Janelas,Pivotante,Janela com abertura pivotante no padrão tabicão. Ventilação máxima com design diferenciado.,un,sim,sim,Janela Tabicão Pivotante.jpg,,Janela Tabicão Pivotante Aberto.jpg|Janela Tabicão Pivotante Aberto Simulacao.jpg
68,Porta Vidro de Correr,Portas,Sólidas,Porta de vidro com abertura tipo correr. Ideal para varandas e divisórias com muita luz.,cj,sim,sim,Vidro de Correr.jpg,,Vidro de Correr Simulacao.jpg
69,Porta com Vidro Curvo,Portas,Sólidas,Porta sólida com vidro em formato curvo. Design exclusivo que une tradição e modernidade.,un,sim,sim,Com Vidro Curvo.jpg,,Com Vidro Curvo Simulacao.jpg
70,Porta com Vidro Lateral,Portas,Sólidas,Porta sólida com vidro lateral integrado. Ampla entrada de luz com privacidade preservada.,un,sim,sim,Com Vidro Lateral.jpg,,Com Vidro Lateral Simulacao.jpg
71,Deck,Deck,Tábuas,Deck de madeira tratada para áreas externas. Resistente à umidade e ao sol.,m²,sim,sim,Peça Deck.jpg,,Deck simulacao.jpg
